Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000109,368,FALSE,Rx,0,8,58,12,89,C0,5,1F,19,0
1000110,440,FALSE,Rx,0,8,30,58,15,FE,80,0,BC,5
1000111,000000AE,FALSE,Rx,0,8,8B,88,0,0,0,0,3,0
1000112,000001A0,FALSE,Rx,0,8,0,40,86,55,FE,FE,0,18
1000113,000002B7,FALSE,Rx,0,8,18,8,0,0,0,0,10,0
1000114,000001AC,FALSE,Rx,0,8,9C,4,10,0,6D,21,6,C2
1000115,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,80,E4
1000116,000003A0,FALSE,Rx,0,8,30,4,D4,55,18,6C,C2,3
1000117,000004A0,FALSE,Rx,0,8,9A,55,72,55,0A,55,34,55
1000118,000004A8,FALSE,Rx,0,8,48,0,3,80,0,20,40,AB
1000119,0000044C,FALSE,Rx,0,8,59,95,47,94,58,2,5,40
1000120,000005A0,FALSE,Rx,0,8,7F,32,3A,40,0,D2,19,AB
1000121,280,FALSE,Rx,0,8,0,5B,44,1E,5B,55,11,5B
1000122,380,FALSE,Rx,0,8,0,73,0,C8,0,0,0,30
1000123,000000D2,FALSE,Rx,0,5,3F,3B,0,0,4,0,0,0
1000124,488,FALSE,Rx,0,8,28,5B,5B,7E,A6,FF,FF,F0
1000125,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000126,540,FALSE,Rx,0,8,70,0,FF,0,FF,0,2,0F
1000127,000000C2,FALSE,Rx,0,8,22,80,22,0,80,A0,7F,9B
1000128,000000D0,FALSE,Rx,0,6,EA,7,20,38,5,F0,0,0
1000129,000003D0,FALSE,Rx,0,6,0,0,8,0,C8,7F,0,0
1000130,50,FALSE,Rx,0,4,0,B0,84,34,0,0,0,0
1000131,000005C0,FALSE,Rx,0,8,1,0,0,A6,21,0,0,86
1000132,0000056A,FALSE,Rx,0,8,74,3,4,71,10,2,0,10
1000133,440,FALSE,Rx,0,8,30,58,15,FE,80,0,C4,5
1000134,366,FALSE,Rx,0,8,51,1,0,0,0,0,80,D0
1000135,000005D6,FALSE,Rx,0,5,0,0,0,0,0,0,0,0
1000136,000000AE,FALSE,Rx,0,8,9B,98,0,0,0,0,3,0
1000137,000001A0,FALSE,Rx,0,8,0,40,76,55,FE,FE,0,19
1000138,320,FALSE,Rx,0,8,20,10,24,87,55,80,55,81
1000139,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,90,F4
1000140,000004A0,FALSE,Rx,0,8,8A,55,64,55,0A,55,10,55
1000141,280,FALSE,Rx,0,8,0,5B,44,1E,5B,55,11,5B
1000142,284,FALSE,Rx,0,6,9,9,0,0,0,0,0,0
1000143,288,FALSE,Rx,0,8,8A,BF,78,0,0,50,B6,12
1000144,380,FALSE,Rx,0,8,0,73,0,C7,0,0,0,30
1000145,480,FALSE,Rx,0,8,84,0,A6,8F,1D,8,6,BE
1000146,488,FALSE,Rx,0,8,A4,5B,5B,7E,A6,FF,83,0
1000147,0000048A,FALSE,Rx,0,8,EE,7E,2,2,0,0,0,90
1000148,588,FALSE,Rx,0,8,E9,38,7E,84,31,80,4,98
1000149,720,FALSE,Rx,0,7,8,60,9,0,0,0,0,0
1000150,540,FALSE,Rx,0,8,80,0,FF,0,FF,0,2,56
1000151,000000C2,FALSE,Rx,0,8,22,80,22,0,80,B0,5A,8B
1000152,000000D0,FALSE,Rx,0,6,FC,18,29,38,5,F0,0,0
1000153,000003D4,FALSE,Rx,0,8,16,84,12,80,8,0,0,0
1000154,368,FALSE,Rx,0,8,59,13,89,C0,5,1F,19,0
1000155,440,FALSE,Rx,0,8,30,58,15,FE,80,0,CC,5
1000156,000000AE,FALSE,Rx,0,8,AB,A8,0,0,0,0,3,0
1000157,000001A0,FALSE,Rx,0,8,0,40,8E,55,FE,FE,0,1A
1000158,000001AC,FALSE,Rx,0,8,9D,5,10,0,6D,21,6,C2
1000159,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,A0,C4
1000160,0000038A,FALSE,Rx,0,4,68,80,C8,20,0,0,0,0
1000161,000003A0,FALSE,Rx,0,8,DC,5,EE,B9,A8,ED,C8,3
