Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536127304,00000540,false,Rx,0,8,E0,00,FF,00,FF,00,02,0F,
18445088912536127651,0000038A,false,Rx,0,4,88,80,28,20,00,00,00,00,
18445088912536130367,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1B,1A,
18445088912536130571,00000284,false,Rx,0,6,6E,5A,04,30,00,00,00,00,
18445088912536130811,000000AE,false,Rx,0,8,5B,58,00,00,00,00,03,00,
18445088912536130982,00000050,false,Rx,0,4,00,B0,24,94,00,00,00,00,
18445088912536131226,000001A0,false,Rx,0,8,00,40,50,0A,FE,FE,00,15,
18445088912536131458,00000288,false,Rx,0,8,8A,BD,78,00,00,50,ED,0C,
18445088912536131692,000001AC,false,Rx,0,8,8C,1A,10,00,65,21,00,C2,
18445088912536131936,00000380,false,Rx,0,8,00,94,00,BB,00,00,00,06,
18445088912536132180,000002A0,false,Rx,0,8,00,00,00,64,00,00,50,34,
18445088912536132410,0000044C,false,Rx,0,8,95,6D,43,94,58,02,05,70,
18445088912536132644,000003A0,false,Rx,0,8,03,0A,BB,34,C1,E5,A1,03,
18445088912536132883,00000480,false,Rx,0,8,84,00,15,F3,7F,08,06,13,
18445088912536133127,000000C2,false,Rx,0,8,44,80,00,00,80,00,3E,3B,
18445088912536133325,000000D0,false,Rx,0,6,B3,64,0C,38,13,F0,00,00,
18445088912536133557,00000488,false,Rx,0,8,84,1A,18,80,9E,FF,26,41,
18445088912536133802,0000048A,false,Rx,0,8,81,22,01,02,00,00,00,A0,
18445088912536134049,0000048C,false,Rx,0,8,01,06,07,00,00,00,00,00,
18445088912536134283,00000368,false,Rx,0,8,47,15,89,83,05,07,5A,00,
18445088912536134516,000004A0,false,Rx,0,8,4E,0A,54,0A,38,0A,38,0A,
18445088912536134751,00000320,false,Rx,0,8,20,40,12,57,0A,48,0A,81,
18445088912536134994,000004A8,false,Rx,0,8,14,00,07,80,00,20,A0,13,
18445088912536135228,00000588,false,Rx,0,8,E1,78,80,00,14,80,04,95,
