Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1060134,000003D0,FALSE,Rx,0,6,0,80,8,0,C8,61,0,0
1060135,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060136,000005A0,FALSE,Rx,0,8,7E,1C,20,C0,0,A7,1A,AB
1060137,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,A3
1060138,448,FALSE,Rx,0,5,52,0,0,2,A0,0,0,0
1060139,366,FALSE,Rx,0,5,7B,0E,0,75,0,0,0,0
1060140,000000C2,FALSE,Rx,0,8,72,0,0,0,80,A0,2E,ED
1060141,000001A0,FALSE,Rx,0,8,0,40,46,2D,0,FE,0,19
1060142,000000AE,FALSE,Rx,0,8,93,90,0,0,0,0,3,0
1060143,280,FALSE,Rx,0,8,0,27,B7,1C,21,19,1D,21
1060144,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,90,B4
1060145,320,FALSE,Rx,0,8,24,30,26,35,2D,8A,30,80
1060146,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060147,488,FALSE,Rx,0,8,28,21,27,7E,A0,FF,FF,F0
1060148,000004A0,FALSE,Rx,0,8,48,2D,42,2D,D0,2C,C2,2C
1060149,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,78,3
1060150,0000056A,FALSE,Rx,0,8,D4,3,0C,3C,8,0F,0,E0
1060151,540,FALSE,Rx,0,8,F5,0,FF,0,FF,0,0,6F
1060152,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060153,0000038A,FALSE,Rx,0,4,95,81,14,0,0,0,0,0
1060154,000000D0,FALSE,Rx,0,6,D1,28,1,38,20,E0,0,0
1060155,480,FALSE,Rx,0,8,96,0,68,BF,1A,0,6,5D
1060156,284,FALSE,Rx,0,6,8,8,0,0,0,0,0,0
1060157,588,FALSE,Rx,0,8,E2,3C,7E,83,0,1,0,57
1060158,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,B3
1060159,000005D2,FALSE,Rx,0,8,0,0,0,0,0,57,56,57
1060160,000005C0,FALSE,Rx,0,8,0D,0,80,A6,6C,0,0,47
1060161,000003A0,FALSE,Rx,0,8,3,0D,F1,D9,36,8,17,0F
1060162,448,FALSE,Rx,0,5,52,0,0,3,A0,0,0,0
1060163,397,FALSE,Rx,0,8,0,80,0,0,0,0,0,0
1060164,720,FALSE,Rx,0,7,4,3,1,0,2,0,0,0
1060165,000000C2,FALSE,Rx,0,8,72,0,0,0,80,B0,0B,DD
1060166,000000D2,FALSE,Tx,128,5,1E,7B,E0,81,4,0,0,0
1060167,50,FALSE,Rx,0,4,0,F0,50,A0,0,0,0,0
1060168,5.00E+00,FALSE,Rx,0,8,20,0,17,0,0,0,84,3
1060169,000005D6,FALSE,Rx,0,2,0,0,0,0,0,0,0,0
1060170,000001A0,FALSE,Rx,0,8,0,40,42,2D,0,FE,0,1A
1060171,000000AE,FALSE,Rx,0,8,A3,A0,0,0,0,0,3,0
1060172,280,FALSE,Rx,0,8,0,27,B7,1C,21,19,1D,21
1060173,000001AC,FALSE,Rx,0,8,6D,0D,0,0,73,21,F3,C1
1060174,288,FALSE,Rx,0,8,8B,89,70,4,0,4B,CF,17
1060175,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,A0,84
1060176,368,FALSE,Rx,0,8,88,1C,89,87,85,0B,14,0
1060177,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060178,394,FALSE,Rx,0,8,0B,7F,86,9A,7D,0,0,10
1060179,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,0,3
1060180,488,FALSE,Rx,0,8,10,21,27,7E,A0,FF,37,0
1060181,000004A0,FALSE,Rx,0,8,48,2D,3C,2D,D8,2C,DA,2C
1060182,540,FALSE,Rx,0,8,5,0,FF,0,FF,0,0,56
1060183,000000D0,FALSE,Rx,0,6,C3,39,2,38,20,E0,0,0
1060184,000003D0,FALSE,Rx,0,6,0,80,8,0,C8,61,0,0
1060185,000003D2,FALSE,Rx,0,7,0C,3,7,0,8,0,0,0
1060186,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,C3
1060187,000004A8,FALSE,Rx,0,8,0,0,0,0,0,0,D0,D0
1060188,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060189,570,FALSE,Rx,0,5,47,22,B3,0,0,0,0,0
1060190,000005A0,FALSE,Rx,0,8,7D,1A,20,D0,0,B5,1A,AB
1060191,420,FALSE,Rx,0,8,CC,90,90,0,10,4E,FF,0
1060192,448,FALSE,Rx,0,5,52,0,0,4,A0,0,0,0
1060193,000000C2,FALSE,Rx,0,8,72,0,0,0,80,C0,F0,CD
1060194,390,FALSE,Rx,0,8,1,0,10,0,40,0,5,0
1060195,000001A0,FALSE,Rx,0,8,0,40,40,2D,0,FE,0,1B
1060196,000000AE,FALSE,Rx,0,8,B3,B0,0,0,0,0,3,0
1060197,280,FALSE,Rx,0,8,0,27,C3,1C,21,19,1D,21
1060198,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,B0,94
1060199,320,FALSE,Rx,0,8,24,30,26,45,2D,8B,30,80
1060200,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060201,488,FALSE,Rx,0,8,1F,21,27,7E,A0,FF,28,10
1060202,000004A0,FALSE,Rx,0,8,46,2D,4A,2D,FC,2C,DA,2C
1060203,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,8,3
1060204,000005F3,FALSE,Rx,0,8,0,0,0,D1,18,0,0,0
1060205,540,FALSE,Rx,0,8,15,0,FF,0,FF,0,0,56
1060206,548,FALSE,Rx,0,3,55,17,6F,0,0,0,0,0
1060207,000000D0,FALSE,Rx,0,6,B1,4A,3,38,20,E0,0,0
1060208,0000038A,FALSE,Rx,0,4,A5,81,24,0,0,0,0,0
1060209,284,FALSE,Rx,0,6,9,9,0,0,0,0,0,0
1060210,480,FALSE,Rx,0,8,96,0,7D,BF,1A,0,6,48
1060211,588,FALSE,Rx,0,8,E2,2E,7E,4,0,1,0,57
1060212,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,D3
1060213,000005C0,FALSE,Rx,0,8,0E,0,80,A6,6C,0,0,44
1060214,000005D0,FALSE,Rx,0,8,C0,4,62,BF,36,55,C0,0
1060215,000003A0,FALSE,Rx,0,8,6B,0E,FF,11,17,89,1A,0F
1060216,448,FALSE,Rx,0,5,52,0,78,15,A0,0,0,0
1060217,000000C2,FALSE,Rx,0,8,72,0,0,0,80,D0,D5,BD
