Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000126,488,FALSE,Rx,0,8,4A,6,10,7E,93,FF,FF,B1
1000127,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,2C,2
1000128,4A0,FALSE,Rx,0,8,C4,1B,CA,1B,D2,1B,DC,1B
1000129,4A8,FALSE,Rx,0,8,6F,0,3,80,80,0,C4,A8
1000130,5A0,FALSE,Rx,0,8,80,E6,12,C0,0,C1,1E,AB
1000131,366,FALSE,Rx,0,8,5D,0D,0,0,0,0,80,D0
1000132,56A,FALSE,Rx,0,8,EC,3,8,28,10,0F,0,D0
1000133,540,FALSE,Rx,0,8,050,0,FF,0,FF,0,2,0F
1000134,0D2,FALSE,Rx,0,5,30,34,0,0,4,0,0,0
1000135,3D4,FALSE,Rx,0,8,D8,86,5E,0,8,0,0,0
1000136,0AE,FALSE,Rx,0,8,9B,98,0,0,0,0,3,0
1000137,1A0,FALSE,Rx,0,8,0,40,BE,1B,FE,FE,0,19
1000138,0C2,FALSE,Rx,0,8,66,0,64,2,80,90,1D,A3
1000139,0D0,FALSE,Rx,0,6,4F,F7,40,38,20,E0,0,0
1000140,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,90,F4
1000141,280,FALSE,Rx,0,8,1,11,B0,16,0E,0,16,6
1000142,284,FALSE,Rx,0,6,15,53,6,40,0,0,0,0
1000143,288,FALSE,Rx,0,8,36,BA,78,0,0,050,B7,8
1000144,380,FALSE,Rx,0,8,0,85,0,55,0,0,0,5
1000145,3D0,FALSE,Rx,0,6,1,0,8,0,C8,80,0,0
1000146,38A,FALSE,Rx,0,4,78,80,D8,20,0,0,0,0
1000147,480,FALSE,Rx,0,8,19,0,14,94,56,8,6,C1
1000148,488,FALSE,Rx,0,8,3B,6,11,7E,93,FF,FF,C1
1000149,48A,FALSE,Rx,0,8,D7,E4,1,2,0,0,0,30
1000150,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,34,2
1000151,4A0,FALSE,Rx,0,8,B2,1B,CC,1B,CA,1B,C2,1B
1000152,588,FALSE,Rx,0,8,E9,050,7E,81,0C,80,4,96
1000153,5C0,FALSE,Rx,0,8,9,0,0,A6,21,0,0,8E
1000154,368,FALSE,Rx,0,8,CE,1B,89,4B,5,0,12,0
1000155,5.00E+00,FALSE,Rx,0,8,30,0,32,0C,32,51,3,FA
1000156,540,FALSE,Rx,0,8,60,0,FF,0,FF,0,2,0F
1000157,44C,FALSE,Rx,0,8,10,AC,45,96,58,2,5,30
